customer_id,age,job,urban_rural,marital_status,kids,disposable_income,mobiles_changed,mobile_age,own_smartphone,current_mobile_price,credit_card_type,own_house,own_cr_card,monthly_bill,call_mins,basic_plan_amount,extra_mins,roam_call_mins,call_mins_delta,bill_amount_delta,incoming_call_mins,outgoing_calls,incoming_calls,day_night_call_ratio,day_night_call_delta,calls_dropped,loyalty_months,complaint_calls,promo_calls_made,promo_offers_accepted,new_numbers_called,customer_dropped
1067807,0,NA,NA,unknown,FALSE,0,3,60,TRUE,37377.508,F,TRUE,false,5381.83,452.25,4449.110000000001,58.5,0,-8.645,-0.5096,157.79,20,16,1.111703177,-8.620210731,5.67,11,8.33,0,0,0,true
1004703,48,professional,urban,unknown,FALSE,801,3,869,TRUE,7473.507999999999,A,FALSE,true,3202.22,155.5,4004.11,0,0,-1.09,-0.0198,0,3,0,3.369668246,-14.62968209,1,37,0,0,0,1,false
1053259,0,NA,urban,unknown,FALSE,0,1,363,TRUE,0,B,TRUE,false,3525.29,660.25,4004.11,9.5,0,1.115,-0.0924,118.88,20.67,4,0.578273852,8.105266809,8,12,0,0,0,0,true
1001943,62,NA,rural,unknown,FALSE,623,1,1307,FALSE,0,A,FALSE,true,1779.11,0,2669.1099999999997,0,0,0,0,0,0,0,0,-3.514851735,0,43,0,0,0,0,true
1014068,44,own_business,urban,yes,FALSE,534,1,765,TRUE,0,D,FALSE,true,1298.51,34.75,890,1.25,0,0.405,0.0732,3.56,0,0,7.154506438,-7.523755997,1,25,0,0,0,2,false
1063229,62,NA,NA,unknown,FALSE,0,1,409,TRUE,0,E,TRUE,false,6914.41,678,5339.110000000001,80.25,0,3.82,1.086,213.05,22,35.33,2.730547945,14.2505834,8.33,14,0,0,0,2,false
1008597,66,NA,town,yes,TRUE,623,1,1018,TRUE,0,C,FALSE,true,2624.6099999999997,81.5,2224.1099999999997,1.75,0,-0.61,-0.025,13.46,2.67,1,2.79125,-0.657437197,2,34,0,0,0,0,false
1092920,0,NA,NA,unknown,FALSE,0,1,293,TRUE,0,E,TRUE,false,7368.31,1374.25,4449.110000000001,0.75,0,12.135,0.344,120.6,51,18.33,0.675535367,-1.529638731,12.33,10,15.33,0,0,0,false
1039944,42,NA,urban,yes,TRUE,801,2,166,TRUE,37377.508,B,FALSE,true,14827.4,1191,14239.11,0,1.87,-23.82,-0.0522,0,0,0,0,-3.071639693,0,22,0,0,0,0,true
1034522,24,NA,NA,no,FALSE,534,3,346,TRUE,9965.508,B,TRUE,true,5677.3099999999995,724.25,6229.11,0,0,-1.325,-0.0562,93.85,74.33,16.33,1.421470306,-2.951855879,7,24,3.67,0,0,0,true
1009601,50,NA,NA,yes,FALSE,534,3,176,TRUE,2489.508,A,FALSE,true,2923.65,32.5,2535.6099999999997,0.75,0,-0.35,-0.1132,0.26,0,0,2.702702703,-0.189339036,1.33,29,1.67,2,0,0,false
1094221,56,NA,rural,no,FALSE,356,1,271,TRUE,0,B,FALSE,true,5210.0599999999995,25.25,2454.62,0,0.96,-0.505,1.336,2.19,1.67,0,3.223333333,-13.56093914,0.67,9,0,0,0,1,true
